;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERIE;ANO;CODUP;NOMEUP;Hiper_e_Supermercados_estabelecimentos_hab;Mercearias_e_similares_estabelecimentos_hab;Distribuicao_de_equipamentos_culturais;Livrarias_e_papelarias_M2_hab;Locadoras;Bancas_de_revista;Matricula_na_Educacao_Infantil;Matricula_no_Ensino_Fundamental;indice_de_Aproveitamento_no_Ensino_Fundamental;Matricula_no_Ensino_Medio;indice_de_Aproveitamento_no_Ensino_Medio;Quadras_campos_e_pistas_de_cooper;area_residencial_adequada;Padrao_de_acabamento;Seguranca_do_Terreno_indice_de_risco_geologico_efetivo;indice_de_Salubridade_Ambiental;Fornecimento_de_Energia_Eletrica;Possibilidade_de_acesso_Pavimentacao;Numero_de_veiculos_por_habitante;Frequencia_das_linhas_por_UP;Tranquilidade_sonora;Ausencia_de_coletivos_poluidores;area_de_verde__por_habitante;Centros_de_saude;Outros_equipamentos_de_assistencia_medica_estabelecimento_hab;Equipamentos_odontologicos_estabelecimento_habitante;APVP;Agencias_bancarias;Postos_de_gasolina;Farmacias;Espacos_publicos_para_inclusao_digital;Correios;Telefones_Publicos;Ausencia_de_crimes_contra_a_pessoa_homicidios_tentados_e_consumados;Ausencia_de_crimes_contra_o_patrimônio_roubo_e_furto;Ausencia_de_acidentes_de_trânsito;IOL_1_Abastecimento;IOL_2_Cultura;IOL_3_Educacao;IOL_4_Esportes;IOL_5_Habitacao;IOL_6_Infra-estrutura_urbana;IOL_7_Meio_Ambiente;IOL_8_Saude;IOL_9_Servicos_Urbanos;IOL_10_Seguranca_urbana;IQVU_1_Abastecimento;IQVU_2_Cultura;IQVU_3_Educacao;IQVU_4_Esportes;IQVU_5_Habitacao;IQVU_6_Infra-estrutura_urbana;IQVU_7_Meio_Ambiente;IQVU_8_Saude;IQVU_9_Servicos_Urbanos;IQVU_10_Seguranca_urbana;IOL;IQVU
SERIE HISTÓRICA;1994;2104;Gorduras;;;0,00;2,08;;;;122,42;;0,00;0,00;;3,19;2,28;;;99,31;44,42;1,54;;151,10;;;0,00;;;;0,00;;;;;10,76;;29,35;96,47;0,30568;0,00226;0,49131;;0,11692;0,67616;0,94800;0,00115;0,02732;0,70060;0,30850;0,11551;0,50280;;0,11692;0,67616;0,94800;0,04070;0,07317;0,70060;0,35113;0,36683
SERIE HISTÓRICA;1994;2105;Säo Paulo/Goiânia;;;0,05;18,06;;;;209,80;;44,95;69,58;;11,73;4,00;;;99,17;68,91;3,07;;125,10;;;0,07;;;;0,51;;;;;23,84;;3,44;17,02;0,85092;0,34037;0,79104;;0,32873;0,76998;0,91352;0,29346;0,23992;0,18381;0,82567;0,46626;0,78878;;0,32873;0,76998;0,91352;0,37419;0,36835;0,18381;0,52060;0,54749
SERIE HISTÓRICA;1994;2106;Cristiano Machado;;;0,01;97,25;;;;210,14;;42,42;70,10;;28,08;8,63;;;99,31;88,25;5,07;;93,10;;;0,04;;;;0,71;;;;;31,61;;2,97;7,99;0,69963;0,51716;0,80029;;0,63895;0,79461;0,83825;0,32385;0,30974;0,11516;0,69400;0,51288;0,77991;;0,63895;0,79461;0,83825;0,44696;0,47604;0,11516;0,57931;0,61161
SERIE HISTÓRICA;1994;2107;Cachoeirinha;;;0,00;21,01;;;;301,11;;79,79;0,00;;17,06;4,59;;;100,00;80,83;4,55;;125,10;;;0,09;;;;0,00;;;;;30,05;;10,38;30,20;0,56317;0,02153;0,42611;;0,42136;0,77626;0,91352;0,38174;0,22919;0,33865;0,64663;0,25440;0,49895;;0,42136;0,77626;0,91352;0,48559;0,40624;0,33865;0,48281;0,53996
SERIE HISTÓRICA;1994;2108;Concórdia;;;0,00;21,00;;;;125,82;;18,81;62,50;;25,76;6,41;;;100,00;74,89;8,18;;138,10;;;0,00;;;;0,52;;;;;43,24;;17,96;52,05;0,63213;0,02152;0,77811;;0,56831;0,62706;0,93294;0,53504;0,29317;0,50992;0,62832;0,29341;0,75470;;0,56831;0,62706;0,93294;0,52384;0,52174;0,50992;0,58020;0,60859
SERIE HISTÓRICA;1994;2201;Glória;;;0,00;11,83;;;;207,65;;49,96;78,35;;12,96;5,19;;;99,76;74,11;1,29;;142,10;;;0,06;;;;0,00;;;;;27,81;;4,58;14,63;0,44858;0,01249;0,79477;;0,37204;0,77145;0,93799;0,19104;0,15419;0,15682;0,45792;0,22559;0,78938;;0,37204;0,77145;0,93799;0,28064;0,28506;0,15682;0,46333;0,49671
SERIE HISTÓRICA;1994;2202;Abílio Machado;;;0,00;20,80;;;;183,28;;60,93;43,67;;14,29;5,49;;;99,58;76,43;2,25;;131,10;;;0,06;;;;0,78;;;;;21,17;;6,39;18,99;0,47781;0,02133;0,75060;;0,40015;0,77170;0,92310;0,19077;0,24392;0,21421;0,49840;0,26211;0,73753;;0,40015;0,77170;0,92310;0,38791;0,41571;0,21421;0,47895;0,53262
SERIE HISTÓRICA;1994;2203;Jardim Montanhês;;;0,00;2,03;;;;65,20;;18,82;0,00;;8,25;3,27;;;98,67;52,46;0,88;;150,10;;;0,07;;;;0,68;;;;;16,91;;25,55;83,12;0,38478;0,00221;0,46305;;0,25107;0,66355;0,94698;0,17953;0,26090;0,64421;0,51036;0,21703;0,51637;;0,25107;0,66355;0,94698;0,27288;0,36888;0,64421;0,42321;0,47158
SERIE HISTÓRICA;1994;2204;Caiçara;;;0,03;95,94;;;;105,94;;139,46;74,15;;27,79;7,90;;;98,73;86,70;2,47;;123,10;;;0,03;;;;1,68;;;;;35,94;;9,12;24,06;0,90506;0,42612;0,81849;;0,62270;0,77842;0,91007;0,20875;0,45153;0,29222;0,88193;0,42574;0,79779;;0,62270;0,77842;0,91007;0,38703;0,45023;0,29222;0,60821;0,62848
SERIE HISTÓRICA;1994;2205;Antônio Carlos;;;0,02;119,02;;;;142,58;;85,03;66,96;;18,06;5,35;;;99,75;91,88;7,14;;103,10;;;0,07;;;;1,14;;;;;34,80;;3,51;8,89;0,63063;0,21610;0,85411;;0,45388;0,78065;0,86700;0,47535;0,39216;0,13639;0,62863;0,43118;0,82088;;0,45388;0,78065;0,86700;0,47182;0,56017;0,13639;0,56820;0,58816
SERIE HISTÓRICA;1994;2206;Padre Eustáquio;;;0,02;126,82;;;;190,23;;569,81;71,39;;29,70;7,75;;;99,54;90,02;10,78;;103,10;;;0,06;;;;0,40;;;;;43,20;;4,83;6,86;0,73128;0,23186;0,78538;;0,63763;0,79953;0,86700;0,62305;0,29368;0,12947;0,72984;0,44085;0,78414;;0,63763;0,79953;0,86700;0,59745;0,57063;0,12947;0,61521;0,64808
SERIE HISTÓRICA;1994;2207;Camargos;;;0,00;0,00;;;;318,44;;0,00;0,00;;14,02;5,24;;;99,36;68,43;0,00;;153,10;;;0,00;;;;0,00;;;;;18,06;;143,71;458,83;0,42296;0,00000;0,48120;;0,39121;0,71172;0,95000;0,00000;0,04413;0,99716;0,43146;0,15529;0,55428;;0,39121;0,71172;0,95000;0,08541;0,13771;0,99716;0,44284;0,47993
SERIE HISTÓRICA;1994;2208;PUC;;;0,03;9,39;;;;146,29;;164,81;61,67;;24,78;7,69;;;99,82;99,93;2,45;;126,10;;;0,09;;;;0,00;;;;;44,00;;10,03;30,12;0,62799;0,23555;0,82955;;0,58666;0,77004;0,91520;0,21416;0,21735;0,32820;0,61613;0,39050;0,82011;;0,58666;0,77004;0,91520;0,35583;0,40286;0,32820;0,55173;0,59444
SERIE HISTÓRICA;1994;2209;Santa Maria;;;0,00;20,89;;;;222,62;;20,94;57,79;;17,13;6,67;;;99,30;52,33;1,91;;150,10;;;0,08;;;;0,00;;;;;28,29;;31,44;102,78;0,42341;0,02142;0,78398;;0,46602;0,75575;0,94698;0,20178;0,06558;0,73364;0,43731;0,20928;0,76539;;0,46602;0,75575;0,94698;0,28217;0,20528;0,73364;0,51390;0,54485
